,Station Names,Latitude,Longitude
0,Shaheed Sthal(First Station),28.6706109,77.4155822
1,Hindon River,28.878965,77.4154832
2,Arthala,28.676999,77.3918919
3,Mohan Nagar,28.60631905,77.10608185
4,Shyam park,28.6988072,28.6988072
5,Major Mohit Sharma,28.6776112,77.3581426
6,Raj Bagh,28.6408602,77.2094999
7,Shaheed Nagar,28.5307795,77.2120573
8,Dilshad Garden,28.67592,77.32142
9,Jhil Mil,28.67579,77.31239
10,Mansarovar Park,28.67544,77.30095
11,Shahdara,28.67345,77.28962
12,Welcome,28.6718,77.27756
14,Seelampur,28.66989,77.2667
15,Shastri Park,28.668,77.24994
16,Kashmere Gate,28.6675,77.22817
18,Tis Hazari,28.66711,77.21653
19,Pul Bangash,28.66636,77.20727
20,Pratap Nagar,28.66662,77.19882
21,Shastri Nagar,28.66999,77.18169
24,Kanhaiya Nagar,28.68254,77.16459
25,Keshav Puram,28.68894,77.1616
26,Netaji Subash Place,28.69591,77.15226
28,Kohat Enclave,28.6981,77.14024
29,Pitam Pura,28.70317,77.13223
30,Rohini East,28.7076,77.12591
31,Rohini West,28.71483,77.11467
32,Rithala(last station),28.72072,77.10713
33,Samaypur Badli(First Station),28.7446158,77.1382654
34,Rohini Sector 18-19,28.7383477,77.1398323
35,Haiderpur Badli Mor,28.7301214,77.1494029
36,Jahangirpuri,28.72592,77.16267
37,Adarsh Nagar,28.71642,77.17046
38,Azadpur,28.70696,77.18053
40,Model Town,28.70278,77.19363
41,Guru Tegh Bahadur Nagar,28.69785,77.20722
42,Vishwavidyalaya,28.6948,77.21483
43,Vidhan Sabha,28.68802,77.2214
44,Civil Lines,28.6768508,77.2250299
45,Kashmere Gate,28.6675,77.22817
47,Chandni Chowk,28.65785,77.23014
48,Chawri Bazar,28.64931,77.22637
49,New Delhi,28.64307,77.22144
51,Rajiv Chowk,28.63282,77.21826
53,Patel Chowk,28.62295,77.21389
54,Central Secretariat,28.61474,77.21191
56,Udyog Bhawan,28.61166,77.21198
57,Lok Kalyan Marg,28.59726,77.21088
58,Jor Bagh,28.58708,77.21209
60,Dilli Haat INA,28.57526,77.20935
62,AIIMS,28.56892,77.20771
63,Green Park,28.55979,77.20682
64,Hauz Khas,28.54335,77.20667
66,Malviya Nagar,28.52798,77.20565
67,Saket,28.5206,77.20138
68,Qutab Minar,28.51302,77.18648
69,Chhattarpur,28.50671,77.17484
70,Sultanpur,28.49927,77.16153
71,Ghitorni,28.49383,77.14922
72,Arjan Garh,28.48076,77.12583
73,Guru Dronacharya,28.48203,77.10232
74,Sikandarpur,28.48182,77.09235
76,MG Road,28.47957,77.08006
77,IFFCO Chowk,28.47209,77.07175
78,Huda City Centre,28.45927,77.07268
79,Dwarka Sector 21(First station),28.55226,77.05828
81,Dwarka Sector 8,28.56583,77.06706
82,Dwarka Sector 9,28.57487,77.06454
83,Dwarka Sector 10,28.58068,77.05682
84,Dwarka Sector 11,28.58657,77.04929
85,Dwarka Sector 12,28.59232,77.04051
86,Dwarka Sector 13,28.59722,77.03326
87,Dwarka Sector 14,28.60223,77.02588
88,Dwarka,28.61564,77.02197
90,Dwarka Mor,28.61932,77.03326
91,Nawada,28.62025,77.04514
92,Uttam Nagar West,28.62481,77.0653
93,Uttam Nagar East,28.62177,77.05585
94,Janak Puri West,28.62943,77.07767
96,Janak Puri East,28.63305,77.08669
97,Tilak Nagar,28.63657,77.09648
98,Subhash Nagar,28.64039,77.10495
99,Tagore Garden,28.64379,77.11284
100,Rajouri Garden,28.64902,77.1227
102,Ramesh Nagar,28.65274,77.13164
103,Moti Nagar,28.65784,77.14248
104,Kirti Nagar,28.65575,77.15057
106,Shadipur,28.6516,77.15824
107,Patel Nagar,28.64498,77.16929
